"","logFC","logCPM","PValue","FDR"
"Clec12b",4.82603653460153,0.544428260223554,0.00151857459683828,0.237870718133166
"Fos",-1.58305858408957,7.31848487616855,0.00152757787224957,0.237870718133166
"F8a",1.2618874918991,3.89870183804971,0.00155510763121885,0.237870718133166
"Isoc1",-0.880338723264336,5.5878898427079,0.00155554314703496,0.237870718133166
"Lcor",-2.53859541622267,1.66188868500179,0.00157403195803009,0.237870718133166
"Spns1",0.993260102133209,6.20905897599887,0.00159388191123841,0.237870718133166
"Efna1",1.11290532394837,6.20228526708014,0.00159647294071059,0.237870718133166
"Eif4ebp2",-1.6632388271274,5.060787156269,0.00162924774130991,0.237870718133166
"Akirin2",0.735557185083356,6.01259853006672,0.0016823919062194,0.237870718133166
"Zfp81",-1.1433113166251,2.31275967232089,0.0017043109513949,0.237870718133166
"Wdfy2",-2.31106598736201,2.05576090071847,0.00170443456651432,0.237870718133166
"Mib1",-2.03210211127467,4.26038811191843,0.00170624011506873,0.237870718133166
"Ern1",-2.43435066417029,4.28264166647886,0.00171251977360928,0.237870718133166
"Zfp607",-1.14946499260217,2.38588411371851,0.00171544587833353,0.237870718133166
"Plag1",-1.68230735744565,0.263372313863482,0.00171907417450356,0.237870718133166
"Hist1h2bc",0.967556504893208,6.07997564385881,0.00174476214610487,0.237870718133166
"Pcdhga8",-3.45456305940402,-0.0259289429720171,0.00175158564488767,0.237870718133166
"BC027231",-0.932257970559153,3.31585899531997,0.00175167097745505,0.237870718133166
"Mob1b",-1.1532757715681,4.60815768035977,0.00178621848110849,0.238476932595329
"Wapal",-0.848016546684214,6.16274316679748,0.00178721715532505,0.238476932595329
"Zfp738",-0.990868335399205,3.5608939646973,0.00180645613749592,0.238966115774784
"Tysnd1",0.760382525355943,4.72850441128916,0.00185951843415898,0.241683939061891
"Yipf3",0.568599392565071,6.10257372329636,0.00186622270743758,0.241683939061891
"1200011I18Rik",-0.726157375277213,5.45458246878153,0.00187425146616911,0.241683939061891
"Zbtb37",-2.03593191603098,1.81855478011437,0.00189587379205288,0.242068280386284
"Rasa2",-0.738239808079757,4.57390707920987,0.00190878213924668,0.242068280386284
"Arl5b",-2.19349906084315,3.50334956249626,0.00196325093792468,0.245837403470521
"Mrpl34",1.09197664235233,4.53506034039332,0.00197054419204132,0.245837403470521
"Elk4",-2.44445701490436,3.89041808325643,0.00199565157652493,0.246577913701058
"Fem1c",-1.31443123503427,4.39668640980477,0.00201734282048024,0.246577913701058
